ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
MRT,Mauritania,0.3491,0.1688,0.5824,0.2962,44.95629883,2023,0.4495629883,0.15694243921553003,0.19215756078447,0.07588623242504,0.09291376757495999,2.224382402522614,0.4136,-0.4136
ZAF,South Africa,0.8616,0.8872,0.8951,0.8026,78.33670044,2023,0.7833670044000001,0.6749490109910401,0.18665098900895996,0.6950032063036801,0.19219679369631995,1.276540873413381,0.007900000000000018,-0.007900000000000018
GHA,Ghana,0.6317,0.6084,0.7281,0.5586,70.67430115,2023,0.7067430115000001,0.4464495603645501,0.18525043963544996,0.4299824481966001,0.17841755180339997,1.4149414762200303,0.11969999999999992,-0.11969999999999992
TON,Tonga,0.5164,0.322,0.4784,0.7488,64.13140106,2023,0.6413140106,0.33117455507384,0.18522544492615997,0.20650311141320002,0.11549688858679999,1.5592985393604932,0.15639999999999998,-0.15639999999999998
NER,Niger,0.2116,0.3084,0.1578,0.1685,12.98079967,2023,0.12980799669999998,0.027467372101719997,0.18413262789828,0.04003278618228,0.26836721381772,7.703685638960332,0.1506,0.1506
GAB,Gabon,0.5741,0.3188,0.8263,0.5772,68.19789886,2023,0.6819789886,0.39152413735526,0.18257586264474004,0.21741490156567997,0.10138509843432,1.4663208349759416,0.5075000000000001,-0.5075000000000001
MDA,Republic of Moldova,0.772,0.7264,0.8118,0.7776,76.50330353,2023,0.7650330353,0.5906055032516,0.1813944967484,0.5557199968419201,0.17068000315808002,1.3071330960340295,0.08539999999999992,-0.08539999999999992
ATG,Antigua and Barbuda,0.6428,0.4166,0.7943,0.7176,72.12409973,2023,0.7212409973,0.46361371306444005,0.17918628693556,0.30046899947518,0.11613100052482,1.3864991088187548,0.3777,-0.3777
KHM,Cambodia,0.5754,0.4503,0.7609,0.5149,68.92549896,2023,0.6892549896,0.39659732101584,0.17880267898416002,0.31037152181688,0.13992847818312001,1.4508418728754315,0.31060000000000004,-0.31060000000000004
STP,Sao Tome and Principe,0.4308,0.2156,0.4839,0.5929,58.70130157,2023,0.5870130157,0.25288520716356,0.17791479283644002,0.12656000618492,0.08903999381508002,1.7035397397577672,0.2683,-0.2683
