Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Comoros,COM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12626127,3.227019968,0.230530376,27.39812915,0.17260788,3.030446007,0.574929086,0.20688391,0.307330847,3.139072048,,
Cabo Verde,CPV,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.601739057,0,,0.002953693,,,,9.64098963151736E-05,1.323279335,0.760204523,2.038021425,3.476540002,1.152150058,,
Costa Rica,CRI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44471779,39.57329478,44.26012929,40.14731307,40.99713032,39.78983017,43.44155138,36.50618338,16.98407796,18.44247052,18.49521818,18.46688402,17.564935,15.68196103,16.96700055,21.974896,24.17778915,22.8587994,
Caribbean small states,CSS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.867142824,0.001836087,0,0,0,0,1.372202403,5.140534617,1.424681459,0.791078006,2.137576747,0.208705084,3.55434662517716E-05,0.010713792,4.36134895566411E-05,
Cuba,CUB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00333202,21.11088362,11.49891607,17.41699975,9.828898804,70.08656603,7.875589132,,,
Curacao,CUW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.59947433,67.76533746,56.64670519,47.70141333,85.52322839,
Cyprus,CYP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2956562,32.01723722,32.5294262,38.20151981,30.35854355,16.59149678,13.08339846,14.52826332,12.7108239,13.328515,13.34996114,19.85679409,19.87421589,12.24482773,15.96900268,17.65959812,18.74195339,18.03292345,
Czechia,CZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28616586,15.78993503,17.44354068,17.87610738,18.71535272,18.58920634,17.33436851,17.3712318,17.7344072,16.87280214,17.82925682,19.55499779,20.71041302,22.58251526,20.35609093,21.8353619,20.30272399,22.40452153,
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.46239259,15.0762416,16.79429103,16.88968553,16.34171863,17.22728619,17.2979906,17.20971497,17.82437528,18.08270142,15.85057879,15.74743356,16.38694056,15.50319599,15.38510482,17.49815056,17.78183748,17.97729904,
