ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
BRB,Barbados,Americas,Latin America and the Caribbean,Latin America & Caribbean ,69.6751,2023,37.4843,2022,18.4336,2023,0.6968,0.7245,0.2881,0.6815,0.4976,0.7624,0.6968,0.3032,0.2648,0.8878,0.7889,0.7550
HND,Honduras,Americas,Latin America and the Caribbean,Latin America & Caribbean ,58.0686,2023,4.3621,2023,3.3089,2023,0.5807,0.0843,0.0517,0.4856,0.4587,0.4799,0.5807,0.4193,0.0212,0.7804,0.5199,0.5989
GRD,Grenada,Americas,Latin America and the Caribbean,Latin America & Caribbean ,69.4131,2023,29.7674,2022,3.0078,2023,0.6941,0.5753,0.0470,0.6458,0.5056,0.6767,0.6941,0.3059,0.1711,0.8513,0.7892,0.7420
COG,Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,43.1504,2023,1.2680,2023,3.1597,2023,0.4315,0.0245,0.0494,0.3391,0.2760,0.2776,0.4315,0.5685,0.0016,0.6624,0.6199,0.5088
MLI,Mali,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,36.0388,2023,0.7742,2022,5.3607,2023,0.3604,0.0150,0.0838,0.3005,0.3334,0.4432,0.3604,0.6396,0.1098,0.6064,0.2497,0.4558
MRT,Mauritania,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,44.9563,2023,0.5904,2023,2.3506,2023,0.4496,0.0114,0.0367,0.3491,0.1688,0.5824,0.4496,0.5504,0.4136,0.6876,0.3821,0.6010
ZAF,South Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,78.3367,2023,3.4057,2023,4.9555,2023,0.7834,0.0658,0.0775,0.8616,0.8872,0.8951,0.7834,0.2166,0.0079,0.6382,0.7831,0.7374
GHA,Ghana,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,70.6743,2023,0.5555,2023,2.1100,2023,0.7067,0.0107,0.0330,0.6317,0.6084,0.7281,0.7067,0.2933,0.1197,0.6761,0.5363,0.6020
TON,Tonga,Oceania,Polynesia,East Asia & Pacific,64.1314,2023,8.1739,2022,28.4603,2023,0.6413,0.1580,0.4448,0.5164,0.3220,0.4784,0.6413,0.3587,0.1564,0.7888,0.8151,0.6273
NER,Niger,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,12.9808,2023,0.1076,2023,8.9668,2023,0.1298,0.0021,0.1402,0.2116,0.3084,0.1578,0.1298,0.8702,0.1506,0.6474,0.2443,0.3855
GAB,Gabon,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,68.1979,2023,3.9729,2023,1.7731,2023,0.6820,0.0768,0.0277,0.5741,0.3188,0.8263,0.6820,0.3180,0.5075,0.7030,0.6637,0.7127
MDA,Republic of Moldova,Europe,Eastern Europe,Europe & Central Asia,76.5033,2023,27.3086,2023,2.6171,2023,0.7650,0.5278,0.0409,0.7720,0.7264,0.8118,0.7650,0.2350,0.0854,0.7480,0.8085,0.7348
KHM,Cambodia,Asia,South-eastern Asia,East Asia & Pacific,68.9255,2023,3.6418,2023,12.9853,2023,0.6893,0.0704,0.2030,0.5754,0.4503,0.7609,0.6893,0.3107,0.3106,0.7676,0.4944,0.5678
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,58.7013,2023,2.5014,2023,29.2734,2023,0.5870,0.0483,0.4576,0.4308,0.2156,0.4839,0.5870,0.4130,0.2683,0.7507,0.5490,0.5593
COL,Colombia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,77.3369,2023,17.0370,2023,8.5999,2023,0.7734,0.3293,0.1344,0.7793,0.7521,0.8065,0.7734,0.2266,0.0544,0.8255,0.6965,0.7570
COM,Comoros,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,31.9275,2023,0.3879,2023,3.1391,2023,0.3193,0.0075,0.0491,0.2586,0.0230,0.3537,0.3193,0.6807,0.3307,0.6720,0.5691,0.5264
FJI,Fiji,Oceania,Melanesia,East Asia & Pacific,74.1161,2023,1.8295,2023,1.6468,2023,0.7412,0.0354,0.0257,0.6754,0.5343,0.7507,0.7412,0.2588,0.2164,0.7433,0.7304,0.7132
EGY,Egypt,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",74.0119,2023,10.8642,2023,3.1629,2023,0.7401,0.2100,0.0494,0.6699,0.7002,0.6946,0.7401,0.2599,0.0056,0.7717,0.6869,0.7277
LBR,Liberia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,31.2241,2023,0.2747,2022,0.6437,2023,0.3122,0.0053,0.0101,0.2513,0.2634,0.1238,0.3122,0.6878,0.1396,0.6323,0.4680,0.3909
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,67.4439,2023,13.5719,2022,9.3322,2020,0.6744,0.2623,0.1459,0.5255,0.3229,0.6498,0.6744,0.3256,0.3269,0.7891,0.6390,0.7546
VNM,Viet Nam,Asia,South-eastern Asia,East Asia & Pacific,78.0800,2023,22.6807,2023,44.2569,2023,0.7808,0.4384,0.6918,0.7709,0.7081,0.8780,0.7808,0.2192,0.1699,0.8397,0.6444,0.7075
PHL,Philippines,Asia,South-eastern Asia,East Asia & Pacific,77.8670,2023,6.5393,2023,63.9779,2023,0.7787,0.1264,1.0000,0.7621,0.8054,0.7554,0.7787,0.2213,0.0500,0.8029,0.6541,0.6807
ARM,Armenia,Asia,Western Asia,Europe & Central Asia,79.9966,2023,18.5458,2023,20.9052,2023,0.8000,0.3584,0.3268,0.8422,0.7922,0.8782,0.8000,0.2000,0.0860,0.8211,0.7778,0.7607
PER,Peru,Americas,Latin America and the Caribbean,Latin America & Caribbean ,79.4848,2023,10.4364,2023,5.0157,2023,0.7948,0.2017,0.0784,0.8070,0.8377,0.8364,0.7948,0.2052,0.0013,0.8213,0.7451,0.7221
UKR,Ukraine,Europe,Eastern Europe,Europe & Central Asia,81.5806,2023,21.3774,2023,6.6881,2023,0.8158,0.4132,0.1045,0.8841,0.9854,0.8428,0.8158,0.1842,0.1426,0.7471,0.7410,0.7156
BGR,Bulgaria,Europe,Eastern Europe,Europe & Central Asia,80.3896,2023,37.0236,2023,12.0579,2023,0.8039,0.7156,0.1885,0.8145,0.7727,0.9171,0.8039,0.1961,0.1444,0.7927,0.7657,0.8395
PRY,Paraguay,Americas,Latin America and the Caribbean,Latin America & Caribbean ,78.0948,2023,12.8836,2023,9.9657,2023,0.7809,0.2490,0.1558,0.7251,0.6712,0.7947,0.7809,0.2191,0.1235,0.7765,0.6818,0.7371
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,74.5992,2023,7.2301,2023,1.1522,2023,0.7460,0.1397,0.0180,0.6238,0.6892,0.6128,0.7460,0.2540,0.0764,0.8419,0.5233,0.6542
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,East Asia & Pacific,64.3980,2023,2.7202,2023,7.4196,2023,0.6440,0.0526,0.1160,0.4404,0.3265,0.5338,0.6440,0.3560,0.2073,0.7538,0.4812,0.6570
MUS,Mauritius,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,79.5000,2023,26.9082,2023,1.0145,2023,0.7950,0.5201,0.0159,0.7506,0.5903,0.9159,0.7950,0.2050,0.3256,0.8304,0.7389,0.8231
BOL,Bolivia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,77.3004,2023,11.1529,2023,8.1652,2023,0.7730,0.2156,0.1276,0.6651,0.5987,0.7089,0.7730,0.2270,0.1102,0.6912,0.7449,0.6617
