ISO3,Country,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C,HDI_Standard,Rank_Standard
HND,Honduras,0.1635,0.4464,117,0.1626,0.4458,116,0.2038,0.4718,116,0.6240,138
NIC,Nicaragua,0.1264,0.4412,118,0.1219,0.4372,117,0.1518,0.4619,118,0.6690,130
MMR,Myanmar,0.1266,0.4105,119,0.1141,0.4000,119,0.1571,0.4333,119,0.6080,144
NPL,Nepal,0.1247,0.4056,120,0.1133,0.3961,120,0.1512,0.4257,120,0.6010,146
KEN,Kenya,0.1093,0.3922,121,0.1038,0.3872,122,0.1427,0.4193,122,0.6010,146
AGO,Angola,0.1121,0.3900,122,0.1114,0.3894,121,0.1560,0.4236,121,0.5910,150
GHA,Ghana,0.1028,0.3870,123,0.0996,0.3840,123,0.1166,0.3995,125,0.6020,145
CMR,Cameroon,0.1009,0.3780,124,0.1002,0.3773,124,0.1365,0.4077,124,0.5870,151
COG,Congo,0.0935,0.3739,125,0.0935,0.3738,125,0.1325,0.4079,123,0.5930,149
SWZ,Eswatini,0.0859,0.3736,126,0.0777,0.3644,126,0.0980,0.3860,126,0.6100,142
CIV,Côte d'Ivoire,0.1138,0.3627,127,0.1094,0.3591,127,0.1455,0.3856,127,0.5340,166
SEN,Senegal,0.1147,0.3549,128,0.1066,0.3484,129,0.1368,0.3708,130,0.5170,169
DJI,Djibouti,0.1155,0.3544,129,0.1101,0.3501,128,0.1535,0.3805,128,0.5150,171
NAM,Namibia,0.0677,0.3521,130,0.0634,0.3465,131,0.0778,0.3647,131,0.6100,142
ZWE,Zimbabwe,0.0887,0.3487,131,0.0884,0.3484,130,0.1213,0.3771,129,0.5500,159
KIR,Kiribati,0.0560,0.3432,132,0.0555,0.3424,132,0.0658,0.3573,133,0.6280,137
RWA,Rwanda,0.0746,0.3330,133,0.0643,0.3209,134,0.0968,0.3554,135,0.5480,161
BTN,Bhutan,0.0387,0.3325,134,0.0363,0.3272,133,0.0415,0.3383,139,0.6810,125
MRT,Mauritania,0.0737,0.3285,135,0.0645,0.3177,135,0.0966,0.3514,136,0.5400,164
COM,Comoros,0.0558,0.3256,136,0.0505,0.3175,136,0.0836,0.3602,132,0.5860,152
PAK,Pakistan,0.0614,0.3137,137,0.0576,0.3086,138,0.0922,0.3472,137,0.5400,164
TGO,Togo,0.0586,0.3129,138,0.0554,0.3085,139,0.0804,0.3386,138,0.5470,163
PNG,Papua New Guinea,0.0523,0.3127,139,0.0502,0.3094,137,0.0875,0.3556,134,0.5680,154
GMB,Gambia,0.0681,0.3014,140,0.0625,0.2950,141,0.0956,0.3281,141,0.4950,174
ZMB,Zambia,0.0433,0.2988,141,0.0432,0.2986,140,0.0687,0.3353,140,0.5690,153
NGA,Nigeria,0.0453,0.2939,142,0.0447,0.2929,142,0.0605,0.3158,145,0.5480,161
BEN,Benin,0.0575,0.2930,143,0.0570,0.2922,143,0.0809,0.3191,144,0.5040,173
TZA,United Republic of Tanzania,0.0487,0.2927,144,0.0474,0.2908,144,0.0705,0.3210,142,0.5320,167
ETH,Ethiopia,0.0528,0.2819,145,0.0518,0.2805,145,0.0877,0.3199,143,0.4920,176
MLI,Mali,0.0836,0.2756,146,0.0812,0.2736,146,0.1236,0.3039,146,0.4100,188
BFA,Burkina Faso,0.0560,0.2620,147,0.0556,0.2615,147,0.0907,0.2956,147,0.4380,185
MWI,Malawi,0.0353,0.2609,148,0.0326,0.2557,148,0.0560,0.2927,148,0.5080,172
LSO,Lesotho,0.0304,0.2561,149,0.0289,0.2530,149,0.0395,0.2734,151,0.5210,168
LBR,Liberia,0.0338,0.2501,150,0.0326,0.2478,150,0.0530,0.2799,149,0.4870,177
TLS,Timor-Leste,0.0191,0.2423,151,0.0190,0.2421,151,0.0271,0.2647,153,0.5660,155
MOZ,Mozambique,0.0344,0.2411,152,0.0311,0.2351,152,0.0554,0.2717,152,0.4610,183
UGA,Uganda,0.0197,0.2391,153,0.0175,0.2322,153,0.0344,0.2750,150,0.5500,159
MDG,Madagascar,0.0210,0.2218,154,0.0195,0.2178,154,0.0342,0.2507,154,0.4870,177
NER,Niger,0.0319,0.2101,155,0.0307,0.2079,155,0.0623,0.2482,155,0.3940,189
COD,Democratic Republic of the Congo,0.0107,0.1856,156,0.0105,0.1851,156,0.0186,0.2132,156,0.4810,180
BDI,Burundi,0.0101,0.1652,157,0.0093,0.1618,157,0.0211,0.1989,157,0.4200,187
CAF,Central African Republic,0.0113,0.1601,158,0.0110,0.1589,158,0.0262,0.1974,158,0.3870,191
