ISO3,Country,M49_Region,M49_Subregion,WB_Region,Global_North_South,EGDI,OSI,TII,HCI,Penetration_Pct,Penetration_Year,p,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,T_adj_EGDI,T_adj_OSI,Phi_EGDI,Phi_OSI,R_facade,I_egov,Signed_Div,I_health,I_education,I_income,HDI_Standard,Rank_Standard,Tier_I,Tier_II,Tier_III,Exclusion_Reason,I_bb_T2,I_digital_T2,HDIN_T2,Rank_T2,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C
TON,Tonga,Oceania,Polynesia,East Asia & Pacific,South,0.5164,0.322,0.4784,0.7488,64.13140106,2023,0.6413140106,8.1739,2022,28.4603,2023,0.6413140106,0.1580,0.4448,0.33117455507384,0.20650311141320002,0.18522544492615997,0.11549688858679999,1.5592985393604932,0.15639999999999998,-0.15639999999999998,0.7888,0.8151,0.6273,0.7390,98,1,1,1,,0.15797998071128583,0.32253480157620024,0.60056140121478829,113,0.3495,0.6128,78,0.3350,0.6063,78,0.4164,0.6402,71
NER,Niger,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2116,0.3084,0.1578,0.1685,12.98079967,2023,0.12980799669999998,0.1076,2023,8.9668,2023,0.12980799669999998,0.0021,0.1402,0.027467372101719997,0.04003278618228,0.18413262789828,0.26836721381772,7.703685638960332,0.1506,0.1506,0.6474,0.2443,0.3855,0.3940,189,1,1,1,,0.0020796248944242473,0.019499995989403177,0.1856901070599371,179,0.0319,0.2101,155,0.0307,0.2079,155,0.0623,0.2482,155
GAB,Gabon,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.5741,0.3188,0.8263,0.5772,68.19789886,2023,0.6819789886,3.9729,2023,1.7731,2023,0.6819789886,0.0768,0.0277,0.39152413735526,0.21741490156567997,0.18257586264474004,0.10138509843432,1.4663208349759416,0.5075000000000001,-0.5075000000000001,0.7030,0.6637,0.7127,0.6930,123,1,1,1,,0.076785703931766661,0.27369695682734901,0.54925746418700094,122,0.1544,0.4760,111,0.1293,0.4554,114,0.1705,0.4880,112
MDA,Republic of Moldova,Europe,Eastern Europe,Europe & Central Asia,North,0.7720,0.7264,0.8118,0.7776,76.50330353,2023,0.7650330353,27.3086,2023,2.6171,2023,0.7650330353,0.5278,0.0409,0.5906055032516,0.5557199968419201,0.1813944967484,0.17068000315808002,1.3071330960340295,0.08539999999999992,-0.08539999999999992,0.7480,0.8085,0.7348,0.7630,86,1,1,1,,0.52780338654157999,0.62013077383469695,0.72453357132333662,77,0.3143,0.6113,79,0.3073,0.6079,77,0.3409,0.6238,77
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6428,0.4166,0.7943,0.7176,72.12409973,2023,0.7212409973,10.6818,2022,0.0000,2023,0.7212409973,,,0.46361371306444005,0.30046899947518,0.17918628693556,0.11613100052482,1.3864991088187548,0.3777,-0.3777,0.9113,0.7824,0.7909,0.8260,54,1,1,0,HiTech_Pct missing or non-positive,0.20645108919387478,0.41022105985827945,0.6935175169065031,84,,,,,,,,,
KHM,Cambodia,Asia,South-eastern Asia,East Asia & Pacific,South,0.5754,0.4503,0.7609,0.5149,68.92549896,2023,0.6892549896,3.6418,2023,12.9853,2023,0.6892549896,0.0704,0.2030,0.39659732101584,0.31037152181688,0.17880267898416002,0.13992847818312001,1.4508418728754315,0.31060000000000004,-0.31060000000000004,0.7676,0.4944,0.5678,0.6000,148,1,1,1,,0.070386412086563419,0.26796177191079862,0.49019673505245742,132,0.2500,0.4818,108,0.2278,0.4707,110,0.2830,0.4969,109
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4308,0.2156,0.4839,0.5929,58.70130157,2023,0.5870130157,2.5014,2023,29.2734,2023,0.5870130157,0.0483,0.4576,0.25288520716356,0.12656000618492,0.17791479283644002,0.08903999381508002,1.7035397397577672,0.2683,-0.2683,0.7507,0.5490,0.5593,0.6130,141,1,1,1,,0.048345480584691562,0.19288968892539229,0.45919605473411079,137,0.2394,0.4847,107,0.2214,0.4753,107,0.2950,0.5107,106
COL,Colombia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.7793,0.7521,0.8065,0.7793,77.33686322,2023,0.7733686322,17.0370,2023,8.5999,2023,0.7733686322,0.3293,0.1344,0.60268617507346,0.58165054827762,0.17661382492654004,0.17044945172238002,1.2930444271515154,0.054400000000000004,-0.054400000000000004,0.8255,0.6965,0.7570,0.7580,91,1,1,1,,0.32928038407347493,0.53540351004590137,0.69479042216920539,83,0.3790,0.6373,67,0.3737,0.6351,65,0.4109,0.6503,68
COM,Comoros,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2586,0.023,0.3537,0.3992,31.92749977,2023,0.3192749977,0.3879,2023,3.1391,2023,0.3192749977,0.0075,0.0491,0.08256451440522,0.0073433249471,0.17603548559478,0.0156566750529,3.13209617791503,0.3307,-0.3307,0.6720,0.5691,0.5264,0.5860,152,1,1,1,,0.0074970863991372259,0.058248348855785614,0.32907079437582054,155,0.0558,0.3256,136,0.0505,0.3175,136,0.0836,0.3602,132
AFG,Afghanistan,Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan",South,0.2083,0.1438,0.2167,0.2643,15.92840004,2023,0.1592840004,0.0801,2023,,,0.1592840004,,,0.03317885728332,0.02290503925752,0.17512114271668,0.12089496074248,6.278094456999838,0.07289999999999999,-0.07289999999999999,0.6597,0.3812,0.3915,0.4620,182,1,1,0,HiTech_Pct missing or non-positive,0.0015481222494738124,0.020150211566742047,0.21104627354697386,176,,,,,,,,,
FJI,Fiji,Oceania,Melanesia,East Asia & Pacific,South,0.6754,0.5343,0.7507,0.7413,74.1160965,2023,0.741160965,1.8295,2023,1.6468,2023,0.741160965,0.0354,0.0257,0.5005801157609999,0.39600230359949995,0.17481988423900002,0.13829769640050002,1.3492345755149153,0.21640000000000004,-0.21640000000000004,0.7433,0.7304,0.7132,0.7290,104,1,1,1,,0.035359421415884391,0.23584703865407255,0.54972016077241581,121,0.1356,0.4786,109,0.1275,0.4714,109,0.1491,0.4902,111
EGY,Egypt,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",South,0.6699,0.7002,0.6946,0.615,74.01190186,2023,0.7401190186,10.8642,2023,3.1629,2023,0.7401190186,0.2100,0.0494,0.49580573056014,0.51823133682372,0.17409426943986003,0.18196866317628005,1.351134040429859,0.005600000000000049,0.005600000000000049,0.7717,0.6869,0.7277,0.7280,105,1,1,1,,0.2099764012825642,0.42552772825247942,0.63651048804978183,100,0.2484,0.5564,94,0.2481,0.5562,91,0.2801,0.5733,91
MHL,Marshall Islands,Oceania,Micronesia,East Asia & Pacific,South,0.4823,0.3586,0.3047,0.7836,64.07589722,2023,0.6407589722,2.3505,2022,,,0.6407589722,,,0.30903805229206,0.22977616743091997,0.17326194770794,0.12882383256908,1.5606492353381674,0.05389999999999995,0.05389999999999995,0.6946,0.8824,0.6386,0.7310,102,1,1,0,HiTech_Pct missing or non-positive,0.045428980616581724,0.20797599718352344,0.53414676437596587,125,,,,,,,,,
LBR,Liberia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2513,0.2634,0.1238,0.3669,31.22410011,2023,0.31224100109999997,0.2747,2022,0.6437,2023,0.31224100109999997,0.0053,0.0101,0.07846616357643,0.08224427968974,0.17283383642357003,0.18115572031026003,3.2026543486508188,0.13960000000000003,0.13960000000000003,0.6323,0.4680,0.3909,0.4870,177,1,1,1,,0.0053092282388321633,0.050668095668323483,0.27668927271289923,166,0.0338,0.2501,150,0.0326,0.2478,150,0.0530,0.2799,149
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5255,0.3229,0.6498,0.6037,67.44390106,2023,0.6744390106,13.5719,2022,9.3322,2020,0.6744390106,0.2623,0.1459,0.3544177000703,0.21777635652274002,0.17108229992969998,0.10512364347726001,1.4827137580763186,0.3269,-0.3269,0.7891,0.6390,0.7546,0.7250,108,1,1,1,,0.26230911807282942,0.39727431816227182,0.62353386893561424,101,0.3092,0.5857,85,0.2801,0.5714,88,0.3563,0.6068,83
VNM,Viet Nam,Asia,South-eastern Asia,East Asia & Pacific,South,0.7709,0.7081,0.878,0.7267,78.08,2023,0.7807999999999999,22.6807,2023,44.2569,2023,0.7807999999999999,0.4384,0.6918,0.60191872,0.5528844799999999,0.16898128000000007,0.15521552000000002,1.2807377049180328,0.16990000000000005,-0.16990000000000005,0.8397,0.6444,0.7075,0.7260,107,1,1,1,,0.43835825597553929,0.59061202056823103,0.68956800517465111,85,0.6144,0.6964,55,0.5865,0.6884,56,0.6585,0.7086,54
PHL,Philippines,Asia,South-eastern Asia,East Asia & Pacific,South,0.7621,0.8054,0.7554,0.7256,77.86699677,2023,0.7786699677,6.5393,2023,63.9779,2023,0.7786699677,0.1264,1.0000,0.59342438238417,0.6271407919855799,0.16867561761583003,0.17825920801442002,1.284241131006702,0.050000000000000044,0.050000000000000044,0.8029,0.6541,0.6807,0.7100,113,1,1,1,,0.12638746349543198,0.38797844947873428,0.61026328178108302,109,0.4916,0.6475,64,0.4853,0.6454,64,0.5346,0.6612,63
ARM,Armenia,Asia,Western Asia,Europe & Central Asia,South,0.8422,0.7922,0.8782,0.8561,79.99663036,2023,0.7999663036,18.5458,2023,20.9052,2023,0.7999663036,0.3584,0.3268,0.67373162089192,0.63373330571192,0.16846837910808,0.15846669428808002,1.250052652842764,0.08599999999999997,-0.08599999999999997,0.8211,0.7778,0.7607,0.7860,76,1,1,1,,0.3584415182807919,0.57808581260786074,0.72797661665608804,74,0.5012,0.7025,53,0.4901,0.6985,53,0.5316,0.7129,53
PER,Peru,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.8070,0.8377,0.8364,0.7469,79.48484477,2023,0.7948484477,10.4364,2023,5.0157,2023,0.7948484477,0.2017,0.0784,0.6414426972939,0.66584454463829,0.16555730270610003,0.17185545536171004,1.2581014693978876,0.0012999999999999678,0.0012999999999999678,0.8213,0.7451,0.7221,0.7620,87,1,1,1,,0.20170815286402616,0.46851325537293748,0.67454185632851893,91,0.2997,0.6032,81,0.2996,0.6032,80,0.3231,0.6147,81
UKR,Ukraine,Europe,Eastern Europe,Europe & Central Asia,North,0.8841,0.9854,0.8428,0.824,81.58059692,2023,0.8158059692,21.3774,2023,6.6881,2023,0.8158059692,0.4132,0.1045,0.72125405736972,0.8038952020496801,0.16284594263027996,0.18150479795031998,1.2257816659280212,0.14260000000000006,0.14260000000000006,0.7471,0.7410,0.7156,0.7340,100,1,1,1,,0.41316889607867013,0.62411926626624392,0.70515358204812062,81,0.3993,0.6306,69,0.3842,0.6246,69,0.4163,0.6373,74
BGR,Bulgaria,Europe,Eastern Europe,Europe & Central Asia,North,0.8145,0.7727,0.9171,0.7538,80.38956462,2023,0.8038956462,37.0236,2023,12.0579,2023,0.8038956462,0.7156,0.1885,0.6547730038299,0.6211701658187401,0.15972699617010003,0.15152983418126004,1.2439425499155041,0.14439999999999997,-0.14439999999999997,0.7927,0.7657,0.8395,0.7990,70,1,1,1,,0.71556877547588815,0.72218302226658315,0.77885904904382364,57,0.5162,0.7161,51,0.4964,0.7092,49,0.5468,0.7265,50
PRY,Paraguay,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.7251,0.6712,0.7947,0.7093,78.09481878,2023,0.7809481878,12.8836,2023,9.9657,2023,0.7809481878,0.2490,0.1558,0.56626553097378,0.52417242365136,0.15883446902622,0.14702757634864003,1.28049468021315,0.12349999999999994,-0.12349999999999994,0.7765,0.6818,0.7371,0.7310,102,1,1,1,,0.2490060900539427,0.47931104746511088,0.65763599646143545,93,0.3619,0.6130,77,0.3502,0.6080,76,0.3938,0.6261,76
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.6238,0.6892,0.6128,0.5694,74.59919739,2023,0.7459919739,7.2301,2023,1.1522,2023,0.7459919739,0.1397,0.0180,0.46534979331882004,0.51413766841188,0.15845020668117998,0.17506233158811998,1.3404969959288726,0.07640000000000002,0.07640000000000002,0.8419,0.5233,0.6542,0.6610,131,1,1,1,,0.13973880993658691,0.36470655872217234,0.569398527104513,119,0.1719,0.4718,113,0.1685,0.4695,112,0.1946,0.4867,113
TCD,Chad,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.1785,0.2674,0.1195,0.1488,12.03590012,2023,0.12035900120000001,0.0000,2023,,,0.12035900120000001,,,0.0214840817142,0.032183996920880004,0.1570159182858,0.23521600307912002,8.3084770563882,0.14790000000000003,0.14790000000000003,0.5076,0.3035,0.3974,0.3940,189,1,0,0,Broadband_per100 missing or non-positive,,,,,,,,,,,,,
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,East Asia & Pacific,South,0.4404,0.3265,0.5338,0.4608,64.39800262,2023,0.6439800261999999,2.7202,2023,7.4196,2023,0.6439800261999999,0.0526,0.1160,0.28360880353848,0.2102594785543,0.15679119646152004,0.11624052144570002,1.5528431928251007,0.20730000000000004,-0.20730000000000004,0.7538,0.4812,0.6570,0.6200,139,1,1,1,,0.052574308901606297,0.21254712058807235,0.47440645193260533,134,0.1827,0.4568,115,0.1724,0.4502,115,0.2226,0.4799,114
MUS,Mauritius,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.7506,0.5903,0.9159,0.7456,79.5,2023,0.795,26.9082,2023,1.0145,2023,0.795,0.5201,0.0159,0.5967270000000001,0.46928850000000005,0.15387299999999998,0.12101149999999998,1.2578616352201257,0.3256,-0.3256,0.8304,0.7389,0.8231,0.7960,72,1,1,1,,0.52006470803110161,0.6271913598095652,0.75020752993044237,64,0.2501,0.5962,83,0.2266,0.5817,84,0.2639,0.6042,85
BOL,Bolivia,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6651,0.5987,0.7089,0.6877,77.30039978,2023,0.7730039978000001,11.1529,2023,8.1652,2023,0.7730039978000001,0.2156,0.1276,0.51412495893678,0.46279749348286003,0.15097504106321996,0.13590250651713998,1.2936543702827406,0.11019999999999996,-0.11019999999999996,0.6912,0.7449,0.6617,0.6980,120,1,1,1,,0.2155562126860984,0.44082916969978747,0.62252714103747209,103,0.3234,0.5761,89,0.3141,0.5719,87,0.3584,0.5911,88
CUB,Cuba,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.4921,0.2298,0.5318,0.7148,69.55580139,2023,0.6955580138999999,2.9712,2023,7.8756,2022,0.6955580138999999,0.0574,0.1231,0.34228409864018994,0.15983923159421998,0.14981590135981002,0.06996076840578001,1.4376945991794288,0.30200000000000005,-0.30200000000000005,0.8947,0.7535,0.6610,0.7640,85,1,1,1,,0.057425478497335723,0.23911577863589289,0.57133732505126245,118,0.2025,0.5481,98,0.1851,0.5359,99,0.2358,0.5693,94
HRV,Croatia,Europe,Southern Europe,Europe & Central Asia,North,0.8818,0.8735,0.918,0.8538,83.24117599,2023,0.8324117599,28.4710,2023,11.0336,2023,0.8324117599,0.5503,0.1725,0.73402068987982,0.7271116722726501,0.14777931012017997,0.14638832772734997,1.2013285349550238,0.044499999999999984,-0.044499999999999984,0.9113,0.8435,0.8819,0.8780,39,1,1,1,,0.55026952015941211,0.69535618522706744,0.82859685481060985,40,0.4907,0.7594,39,0.4852,0.7573,37,0.5149,0.7686,37
MEX,Mexico,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.7850,0.7637,0.831,0.7603,81.18318755,2023,0.8118318755,20.7529,2023,17.9939,2023,0.8118318755,0.4011,0.2813,0.6372880222675,0.61999600331935,0.1477119777325,0.14370399668064998,1.231782133935193,0.06729999999999992,-0.06729999999999992,0.8436,0.7103,0.7937,0.7810,77,1,1,1,,0.40109895419606845,0.5920401068475134,0.72844450840872632,72,0.4915,0.6953,56,0.4830,0.6923,55,0.5271,0.7076,55
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6305,0.3039,0.8675,0.7202,76.58950043,2023,0.7658950043,46.7447,2022,,,0.7658950043,,,0.48289680021114995,0.23275549180677002,0.14760319978884998,0.07114450819323,1.3056619959467726,0.5636000000000001,-0.5636000000000001,0.8004,0.8616,0.8535,0.8380,51,1,1,0,HiTech_Pct missing or non-positive,0.9034520613605308,0.69392024667785479,0.79943188095730489,51,,,,,,,,,
BLZ,Belize,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.4872,0.4055,0.5292,0.527,70.18720245,2023,0.7018720245,9.7539,2022,0.0000,2023,0.7018720245,,,0.3419520503364,0.28460910593475003,0.14524794966360002,0.12089089406525003,1.4247611602875618,0.12369999999999998,-0.12369999999999998,0.7840,0.6401,0.6837,0.7000,118,1,1,0,HiTech_Pct missing or non-positive,0.18851722358480172,0.35633465380128759,0.59131906620985153,114,,,,,,,,,
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5876,0.3906,0.6768,0.6956,75.53679657,2023,0.7553679657000001,30.4936,2023,4.9344,2023,0.7553679657000001,0.5894,0.0771,0.44385421664532004,0.29504672740242005,0.14374578335467994,0.09555327259757997,1.3238581001688352,0.28619999999999995,-0.28619999999999995,0.7534,0.8180,0.7470,0.7720,81,1,1,1,,0.589361056511294,0.58245196682338241,0.71959793661090132,80,0.3514,0.6342,68,0.3230,0.6210,70,0.3917,0.6516,67
DZA,Algeria,Africa,Northern Africa,"Middle East, North Africa, Afghanistan & Pakistan",South,0.5956,0.332,0.8129,0.6418,76.19760132,2023,0.7619760132000001,12.0087,2023,,,0.7619760132000001,,,0.45383291346192006,0.2529760363824,0.14176708653807996,0.07902396361759997,1.3123772699883198,0.48089999999999994,-0.48089999999999994,0.8789,0.6631,0.7097,0.7450,93,1,1,0,HiTech_Pct missing or non-positive,0.23209657499695593,0.4313555004305335,0.64991589625790069,97,,,,,,,,,
GEO,Georgia (Country),Asia,Western Asia,Europe & Central Asia,South,0.7792,0.5652,0.9071,0.8654,81.88425624,2023,0.8188425624,29.3086,2023,2.2930,2023,0.8188425624,0.5665,0.0358,0.63804212462208,0.46280981626848,0.14115787537792002,0.10239018373152002,1.2212359810279447,0.3419,-0.3419,0.7936,0.8880,0.7662,0.8140,60,1,1,1,,0.56645812435615706,0.666406447747241,0.77450458081288265,59,0.3209,0.6452,66,0.2890,0.6285,67,0.3344,0.6519,66
JPN,Japan,Asia,Eastern Asia,East Asia & Pacific,North,0.9351,0.9427,0.9509,0.9117,85.00990295,2023,0.8500990294999999,38.6312,2023,17.1028,2023,0.8500990294999999,0.7466,0.2673,0.79492760248545,0.8013883551096499,0.14017239751455007,0.14131164489035006,1.1763335391503351,0.008199999999999985,-0.008199999999999985,0.9972,0.8516,0.9182,0.9200,24,1,1,1,,0.74663945373124518,0.79610315356569061,0.88762829705141766,25,0.6060,0.8291,20,0.6048,0.8287,20,0.6295,0.8370,20
MNG,Mongolia,Asia,Eastern Asia,East Asia & Pacific,South,0.8457,0.8222,0.9374,0.7775,83.74320221,2023,0.8374320221000001,14.5529,2023,22.5366,2023,0.8374320221000001,0.2813,0.3523,0.7082162610899702,0.6885366085706202,0.1374837389100299,0.1336633914293799,1.194126775200611,0.11519999999999997,-0.11519999999999997,0.8103,0.7174,0.7008,0.7410,96,1,1,1,,0.28126926697087945,0.55048553686712431,0.68815584716340072,88,0.4924,0.6692,58,0.4775,0.6641,59,0.5162,0.6772,58
ERI,Eritrea,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.1576,0.0,0.1405,0.3324,14.34939957,2020,0.1434939957,0.1654,2022,,,0.1434939957,,,0.022614653722319997,0.0,0.13498534627768,0.0,6.968932707753709,0.1405,-0.1405,0.7170,0.3730,0.4492,0.4930,175,1,1,0,HiTech_Pct missing or non-positive,0.0031967468172655251,0.021809412707637393,0.22624444591201909,175,,,,,,,,,
ALB,Albania,Europe,Southern Europe,Europe & Central Asia,North,0.8000,0.8144,0.775,0.8106,83.13559161,2023,0.8313559161,22.5049,2023,0.6823,2023,0.8313559161,0.4350,0.0107,0.66508473288,0.67705625807184,0.13491526712,0.13734374192815998,1.2028542536764897,0.03939999999999999,0.03939999999999999,0.8744,0.7398,0.7598,0.7890,74,1,1,1,,0.43496050452163798,0.62187714778298298,0.74354471451288928,66,0.2250,0.5767,88,0.2228,0.5752,85,0.2403,0.5862,89
BRA,Brazil,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.8403,0.9063,0.8069,0.8077,84.15060238,2023,0.8415060238,22.4192,2023,9.8491,2023,0.8415060238,0.4333,0.1539,0.70711751179914,0.7626569093699399,0.13318248820086004,0.14364309063006006,1.1883456228682556,0.09940000000000004,0.09940000000000004,0.8219,0.7087,0.7530,0.7600,89,1,1,1,,0.43330414900628333,0.63647383742836505,0.72688253900976729,75,0.4464,0.6652,61,0.4348,0.6608,60,0.4688,0.6734,59
GMB,Gambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.2552,0.0955,0.3877,0.2823,48.72829819,2023,0.48728298189999997,0.5021,2023,2.3423,2023,0.48728298189999997,0.0097,0.0366,0.12435461698087999,0.046535524771449996,0.13084538301912,0.048964475228550006,2.052195617628238,0.2922,-0.2922,0.6601,0.3998,0.4591,0.4950,174,1,1,1,,0.0097042719283495782,0.083779038530988503,0.31741233273595948,158,0.0681,0.3014,140,0.0625,0.2950,141,0.0956,0.3281,141
GRC,Greece,Europe,Southern Europe,Europe & Central Asia,North,0.8674,0.8145,0.8657,0.9219,85.0102229,2023,0.850102229,43.8540,2023,15.1515,2023,0.850102229,0.8476,0.2368,0.7373786734346,0.6924082655204999,0.1300213265654,0.12209173447950002,1.1763291118249732,0.05120000000000002,-0.05120000000000002,0.9325,0.8803,0.8684,0.8930,33,1,1,1,,0.84758243606023176,0.80993075793895764,0.87168949518597805,31,0.5956,0.8072,28,0.5878,0.8046,26,0.6240,0.8167,28
VEN,Venezuela,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5360,0.3576,0.5391,0.7115,76.33190155,2023,0.7633190155,10.6381,2023,,,0.7633190155,,,0.40913899230800005,0.2729628799428,0.12686100769199998,0.08463712005719998,1.3100682410551057,0.18150000000000005,-0.18150000000000005,0.7862,0.6960,0.6230,0.6990,119,1,1,0,HiTech_Pct missing or non-positive,0.20560648317262625,0.40044043005866686,0.6078438979184575,110,,,,,,,,,
SRB,Serbia,Europe,Southern Europe,Europe & Central Asia,North,0.8618,0.854,0.9221,0.8094,85.35746686,2023,0.8535746686,31.2695,2023,,,0.8535746686,,,0.73561064939948,0.7289527669843999,0.12618935060052003,0.12504723301560003,1.1715436701515067,0.06810000000000005,-0.06810000000000005,0.8329,0.7864,0.7965,0.8050,65,1,1,0,HiTech_Pct missing or non-positive,0.60435716204645917,0.7239819405946214,0.78394838546507428,54,,,,,,,,,
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6973,0.5999,0.7745,0.7174,81.9681015,2023,0.819681015,26.8942,2023,0.2232,2023,0.819681015,0.5198,0.0035,0.5715635717595,0.4917266408985,0.1257364282405,0.10817335910149999,1.2199867774173103,0.17459999999999998,-0.17459999999999998,0.8417,0.7830,0.8180,0.8140,60,1,1,1,,0.51979412486639953,0.6244728979057137,0.76172199628091752,61,0.1707,0.5508,95,0.1627,0.5442,93,0.1846,0.5616,97
TUR,Türkiye,Asia,Western Asia,Europe & Central Asia,South,0.8913,0.9225,0.8322,0.9192,85.96074155,2023,0.8596074155,22.4592,2023,4.5183,2023,0.8596074155,0.4341,0.0706,0.7661680894351499,0.79298784079875,0.12513191056485,0.12951215920125003,1.1633217466118986,0.09029999999999994,0.09029999999999994,0.8996,0.7937,0.8752,0.8550,45,1,1,1,,0.43407724376257489,0.65876483844657086,0.8010062166520554,50,0.3770,0.6967,54,0.3681,0.6926,54,0.3910,0.7031,56
PRT,Portugal,Europe,Southern Europe,Europe & Central Asia,North,0.8415,0.7878,0.8979,0.8389,85.79012676,2023,0.8579012676000001,44.1107,2023,6.7108,2023,0.8579012676000001,0.8525,0.1049,0.7219239166854001,0.67585461861528,0.11957608331459994,0.11194538138471993,1.16563529833395,0.11010000000000009,-0.11010000000000009,0.9575,0.7865,0.8862,0.8740,42,1,1,1,,0.85254377165873274,0.80825513994872733,0.85699725843305818,35,0.4851,0.7543,40,0.4712,0.7488,40,0.5073,0.7628,40
POL,Poland,Europe,Eastern Europe,Europe & Central Asia,North,0.8648,0.8037,0.9603,0.8304,86.414744,2023,0.86414744,24.5262,2023,12.1223,2023,0.86414744,0.4740,0.1895,0.747314706112,0.694515297528,0.11748529388800001,0.109184702472,1.1572099316755484,0.15660000000000007,-0.15660000000000007,0.8769,0.8815,0.8855,0.8810,36,1,1,1,,0.47402691529394031,0.67395586855311307,0.8241345149811945,42,0.4908,0.7613,38,0.4703,0.7532,38,0.5079,0.7679,39
CRI,Costa Rica,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.8009,0.7217,0.8933,0.7877,85.39514799,2023,0.8539514799,22.5231,2023,24.1778,2023,0.8539514799,0.4353,0.3779,0.6839297402519099,0.61629678304383,0.11697025974809001,0.10540321695617001,1.1710267193601007,0.17159999999999997,-0.17159999999999997,0.8818,0.7405,0.8022,0.8060,64,1,1,1,,0.43531226263575062,0.63350278527396486,0.75898219156054925,62,0.5567,0.7349,46,0.5312,0.7263,46,0.5840,0.7437,46
ISR,Israel,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",North,0.9014,0.8541,0.9763,0.8739,87.03842615,2023,0.8703842615,29.4357,2023,34.9378,2023,0.8703842615,0.5689,0.5461,0.7845643733161,0.74339519774715,0.11683562668389996,0.11070480225284997,1.1489178334596988,0.12219999999999998,-0.12219999999999998,0.9631,0.8656,0.9180,0.9150,25,1,1,1,,0.56891463294427336,0.72967405716931855,0.86445034977404855,32,0.6787,0.8489,16,0.6569,0.8420,18,0.6991,0.8552,17
CZE,Czech Republic,Europe,Eastern Europe,Europe & Central Asia,North,0.8239,0.7006,0.9204,0.8508,85.99404818,2023,0.8599404817999999,37.9100,2023,20.3027,2023,0.8599404817999999,0.7327,0.3173,0.70850496295502,0.60247430154908,0.11539503704498005,0.09812569845092005,1.1628711767433393,0.2198,-0.2198,0.8943,0.8846,0.9048,0.8950,32,1,1,1,,0.73270055527530875,0.7642684594912218,0.86001727258788685,33,0.6135,0.8140,27,0.5766,0.8015,27,0.6366,0.8216,27
FRA,France,Europe,Western Europe,Europe & Central Asia,North,0.8744,0.844,0.9228,0.8565,86.83635789,2023,0.8683635789,48.6688,2023,22.3835,2023,0.8683635789,0.9406,0.3499,0.75929711339016,0.7328988605916,0.11510288660983996,0.11110113940839995,1.1515913659883692,0.07879999999999998,-0.07879999999999998,0.9728,0.8337,0.9306,0.9100,28,1,1,1,,0.94063985187504473,0.85279682422011227,0.89569571488618016,22,0.6825,0.8472,18,0.6686,0.8428,17,0.7098,0.8555,16
GUY,Guyana,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5443,0.3455,0.6942,0.5933,79.3553009,2023,0.793553009,12.9356,2022,15.7139,2023,0.793553009,0.2500,0.2456,0.4319309027987,0.2741725646095,0.11236909720129998,0.07132743539049999,1.260155262041228,0.34870000000000007,-0.34870000000000007,0.7075,0.6493,0.8882,0.7420,95,1,1,1,,0.25001111323712172,0.44087605430209076,0.65125306732282617,96,0.3809,0.6279,72,0.3422,0.6113,75,0.4240,0.6449,69
