ISO3,Country,M49_Region,M49_Subregion,WB_Region,Global_North_South,EGDI,OSI,TII,HCI,Penetration_Pct,Penetration_Year,p,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,T_adj_EGDI,T_adj_OSI,Phi_EGDI,Phi_OSI,R_facade,I_egov,Signed_Div,I_health,I_education,I_income,HDI_Standard,Rank_Standard,Tier_I,Tier_II,Tier_III,Exclusion_Reason,I_bb_T2,I_digital_T2,HDIN_T2,Rank_T2,I_digital_A,HDIN_A,Rank_A,I_digital_B,HDIN_B,Rank_B,I_digital_C,HDIN_C,Rank_C
NIC,Nicaragua,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.5318,0.4493,0.5851,0.561,60.30120087,2023,0.6030120087,5.4303,2023,0.8047,2023,0.6030120087,0.1050,0.0126,0.32068178622666005,0.27093329550891,0.21111821377334,0.17836670449108996,1.6583417669506189,0.13579999999999998,-0.13579999999999998,0.8402,0.5915,0.6033,0.6690,130,1,1,1,,0.10495341137724898,0.27277146618964965,0.53477047599225613,123,0.1264,0.4412,118,0.1219,0.4372,117,0.1518,0.4619,118
SEN,Senegal,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.5163,0.4779,0.7329,0.338,59.18740082,2023,0.5918740082,1.9739,2023,1.6047,2023,0.5918740082,0.0382,0.0251,0.30558455043366,0.28285658851878,0.21071544956633997,0.19504341148121998,1.6895487656928672,0.255,-0.255,0.7371,0.3503,0.5355,0.5170,169,1,1,1,,0.038150293486096859,0.19037920774040931,0.40279714599678906,142,0.1147,0.3549,128,0.1066,0.3484,129,0.1368,0.3708,130
LSO,Lesotho,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.4123,0.2864,0.4643,0.4862,48.98590088,2023,0.48985900880000005,0.3837,2023,0.0743,2023,0.48985900880000005,0.0074,0.0012,0.20196886932824,0.14029562012032,0.21033113067175996,0.14610437987967997,2.0414037142027546,0.1779,-0.1779,0.5082,0.5590,0.4983,0.5210,168,1,1,1,,0.0074159114497266143,0.090193108754640677,0.33614579127727851,152,0.0304,0.2561,149,0.0289,0.2530,149,0.0395,0.2734,151
BRB,Barbados,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6815,0.4976,0.7624,0.7845,69.67510223,2023,0.6967510223,37.4843,2022,18.4336,2023,0.6967510223,0.7245,0.2881,0.47483582169745,0.34670330869648,0.20666417830255002,0.15089669130352001,1.4352329139022493,0.2648,-0.2648,0.8878,0.7889,0.7550,0.8090,62,1,1,1,,0.72447289433147599,0.62117563156070343,0.7570500886559357,63,0.5126,0.7216,49,0.4747,0.7078,50,0.5658,0.7396,47
HND,Honduras,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.4856,0.4587,0.4799,0.5182,58.0685997,2023,0.580685997,4.3621,2023,3.3089,2023,0.580685997,0.0843,0.0517,0.2819811201432,0.2663606668239,0.2036188798568,0.1923393331761,1.7221011100083408,0.021199999999999997,-0.021199999999999997,0.7804,0.5199,0.5989,0.6240,138,1,1,1,,0.084307915910483353,0.23988876731858882,0.4913605961477851,130,0.1635,0.4464,117,0.1626,0.4458,116,0.2038,0.4718,116
GRD,Grenada,Americas,Latin America and the Caribbean,Latin America & Caribbean ,South,0.6458,0.5056,0.6767,0.755,69.4131012,2023,0.694131012,29.7674,2022,3.0078,2023,0.694131012,0.5753,0.0470,0.44826980754960005,0.3509526396672001,0.1975301924504,0.1546473603328,1.4406502269920192,0.17109999999999992,-0.17109999999999992,0.8513,0.7892,0.7420,0.7930,73,1,1,1,,0.57532552121082103,0.56359205053441552,0.72804733838196711,73,0.3029,0.6234,73,0.2890,0.6161,72,0.3413,0.6423,70
FSM,Micronesia (Federated States of),Oceania,Micronesia,East Asia & Pacific,South,0.3235,0.2621,0.135,0.5735,39.39889908,2023,0.3939889908,5.8182,2022,,,0.3939889908,,,0.1274554385238,0.10326451448868,0.1960445614762,0.15883548551131998,2.5381419870882342,0.1271,0.1271,0.7835,0.5948,0.5458,0.6340,135,1,1,0,HiTech_Pct missing or non-positive,0.1124504977763862,0.17807431405396434,0.46132946420097309,136,,,,,,,,,
COG,Congo,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3391,0.276,0.2776,0.4638,43.15039825,2023,0.4315039825,1.2680,2023,3.1597,2023,0.4315039825,0.0245,0.0494,0.14632300046575,0.11909509917000001,0.19277699953425,0.15690490083000003,2.3174757141436118,0.0015999999999999903,-0.0015999999999999903,0.6624,0.6199,0.5088,0.5930,149,1,1,1,,0.024507103774441874,0.1156635360611515,0.39427240503529515,143,0.0935,0.3739,125,0.0935,0.3738,125,0.1325,0.4079,123
MLI,Mali,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3005,0.3334,0.4432,0.125,36.03879929,2023,0.3603879929,0.7742,2022,5.3607,2023,0.3603879929,0.0150,0.0838,0.10829659186644999,0.12015335683285999,0.19220340813355,0.21324664316713998,2.7747872284898203,0.10980000000000001,-0.10980000000000001,0.6064,0.2497,0.4558,0.4100,188,1,1,1,,0.01496324900802279,0.083586665794856865,0.27559559037844239,167,0.0836,0.2756,146,0.0812,0.2736,146,0.1236,0.3039,146
MRT,Mauritania,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.3491,0.1688,0.5824,0.2962,44.95629883,2023,0.4495629883,0.5904,2023,2.3506,2023,0.4495629883,0.0114,0.0367,0.15694243921553003,0.07588623242504,0.19215756078447,0.09291376757495999,2.224382402522614,0.4136,-0.4136,0.6876,0.3821,0.6010,0.5400,164,1,1,1,,0.011410878602863156,0.093028641187858252,0.34813766634713295,151,0.0737,0.3285,135,0.0645,0.3177,135,0.0966,0.3514,136
ZAF,South Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.8616,0.8872,0.8951,0.8026,78.33670044,2023,0.7833670044000001,3.4057,2023,4.9555,2023,0.7833670044000001,0.0658,0.0775,0.6749490109910401,0.6950032063036801,0.18665098900895996,0.19219679369631995,1.276540873413381,0.007900000000000018,-0.007900000000000018,0.6382,0.7831,0.7374,0.7170,110,1,1,1,,0.065823220287552595,0.32649143193309282,0.58896194785373812,115,0.2279,0.5383,101,0.2274,0.5380,98,0.2434,0.5473,101
GHA,Ghana,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,South,0.6317,0.6084,0.7281,0.5586,70.67430115,2023,0.7067430115000001,0.5555,2023,2.1100,2023,0.7067430115000001,0.0107,0.0330,0.4464495603645501,0.4299824481966001,0.18525043963544996,0.17841755180339997,1.4149414762200303,0.11969999999999992,-0.11969999999999992,0.6761,0.5363,0.6020,0.6020,145,1,1,1,,0.010736353427998786,0.15018627320460765,0.42551156294712422,139,0.1028,0.3870,123,0.0996,0.3840,123,0.1166,0.3995,125
